,,headline,pub_date,snippet,web_url
0,531,"Your Monday Evening Briefing: Ramadi, Peyton Manning, Meadowlark Lemon",2015-12-28T00:00:00Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2015/12/28/nytnow/your-monday-evening-briefing-ramadi-peyton-manning-meadowlark-lemon.html
0,532,Obama to Travel to Oklahoma to Inspect Tornado Damage and Meet With Victims,2013-05-22T14:16:31Z,"President Obama will travel to Oklahoma on Sunday to inspect the damage from Monday’s deadly tornado, which left two dozen people dead, and meet with victims from the ravaged communities, the White House announced on Wednesday.",https://thecaucus.blogs.nytimes.com/2013/05/22/obama-to-travel-to-oklahoma-to-inspect-tornado-damage-and-meet-with-victims/
0,533,Tourists Thwart Turtles from Nesting in Costa Rica,2015-09-19T00:00:00Z,"During the first weekend in September, day-trippers swarmed the beach in Costa Rica that serves as a nesting ground for olive ridley sea turtles, becoming a cautionary tale for conservationists, not to mention a social media sensation.",https://www.nytimes.com/2015/09/19/world/americas/tourists-thwart-turtles-from-nesting-in-costa-rica.html
0,534,Durant’s Free Agency Is an Emotional and Economic Factor in Oklahoma City,2016-05-08T16:15:36+0000,In the background of the Thunder’s playoff run is the anxiety over whether their star player will return next year.,https://www.nytimes.com/2016/05/09/sports/basketball/kevin-durant-free-agency-oklahoma-city.html
0,535,"In ‘The Path,’ on Hulu, Losing Faith Means Losing Love",2016-03-27T00:00:00Z,The streaming service’s first full-fledged hourlong drama series unbraids the ties that bind.,https://www.nytimes.com/2016/03/27/arts/television/hulu-the-path.html
0,536,"Blizzard Buried Some Dairy Cows in the Snow; 35,000 Die",2016-01-06T00:00:00Z,"More than 35,000 dairy cows died after a two-day storm hit West Texas and New Mexico on Dec. 26, leaving farmers unable to reach them amid gusts of 80 miles per hour and 14-foot snow drifts.",https://www.nytimes.com/2016/01/06/us/in-west-texas-hundreds-of-dairy-cows-killed-by-blizzard.html
1,537,Oklahama City Tornadoes,2013-06-01T02:12:00Z,Drivers filmed the storms that tore through central Oklahoma on Friday.,https://www.nytimes.com/video/multimedia/100000002257112/oklahama-city-tornadoes.html
0,538,"Review: In ‘My Golden Days,’ Aching for a Love Left Behind",2016-03-17T21:26:02+0000,Arnaud Desplechin’s film tells of a middle-aged anthropologist and the women who left their imprint on different stages of his life.,https://www.nytimes.com/2016/03/18/movies/review-in-my-golden-days-aching-for-a-love-left-behind.html
0,539,"Your Tuesday Evening Briefing: Lemmy of Motörhead, Ethan Couch, George Pataki",2015-12-29T00:00:00Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2015/12/29/nytnow/your-tuesday-evening-briefing-lemmy-ofmotorhead-ethan-couch-ebola.html
0,540,How Politics and Bad Decisions Starved New York’s Subways,2017-11-18T10:00:24+0000,"Disruptions and delays have roiled the system this year. But the crisis was long in the making, fueled by a litany of errors, a Times investigation shows.",https://www.nytimes.com/2017/11/18/nyregion/new-york-subway-system-failure-delays.html
0,541,What If?,2016-01-20T08:21:03+0000,"What if the eras of the E.U., high growth in China, expensive oil and newly independent nations’ economic foundations are all over?",https://www.nytimes.com/2016/01/20/opinion/what-if.html
0,542,May 20 Updates on Tornado That Left Dozens Dead Near Oklahoma City,2013-05-20T10:45:14Z,"Some students and staff members may still be trapped in an elementary school; neighborhoods were leveled by the tornado, which was at least a mile wide; 143 people were hurt.",https://thelede.blogs.nytimes.com/2013/05/20/video-of-the-damage-caused-by-tornadoes-in-oklahoma-and-kansas/
0,543,Reflections on the Oklahoma Tornado,2013-05-21T08:38:21Z,"As the rescue effort continues, workers sifted through debris while residents started returning to their homes and assessing the cleanup.",https://www.nytimes.com/video/us/100000002236770/oklahoma-tornado-path.html
0,544,"Different Paths, Different Fates",2013-05-23T00:00:00Z,Even a difference of a few miles in where a tornado touches down can change the number of people in its path.,https://www.nytimes.com/interactive/2013/05/23/us/different-paths-different-fates.html
0,545,"After One Campus Is Attacked, the Others Adapt",2015-10-07T00:00:00Z,Colleges have been strengthening security measures and also improving high-tech communications systems to send alerts to people on campus.,https://www.nytimes.com/2015/10/07/us/campus-security-teams-try-to-learn-from-each-new-attack.html
0,546,A Tornado of Issues in a Kansas Biology Class,2013-07-07T00:00:00Z,"“How the World Began,” by Catherine Trieschmann, at the Penguin Rep Theater, uses the familiar conflict between enlightenment and religion to explore relationships.",https://www.nytimes.com/2013/07/07/nyregion/a-review-of-how-the-world-began-at-penguin-rep-theater.html
0,547,"Where Twisters Dug In, So Did They",2013-05-28T00:00:00Z,"Even before the horrific events in Oklahoma last week, reading Lee Sandlin’s “Storm Kings” would have banished any notion that it would be a lot of fun to see a tornado up close.",https://www.nytimes.com/2013/05/28/science/earth/storm-kings-review-where-tornadoes-dug-in-so-did-they.html
0,548,Can Health Care Providers Afford to Be Ready for Disaster?,2016-02-14T00:00:00Z,Many critical medical facilities are minimally prepared for disasters.,https://www.nytimes.com/2016/02/14/sunday-review/can-health-care-providers-afford-to-be-ready-for-disaster.html
0,549,Video: Tornadoes Rip Across Southeast,2013-01-30T20:04:31Z,"Video and photos from Georgia in the aftermath of a strong line of storms that tore across the Southeast, leaving at least two people dead.",https://thelede.blogs.nytimes.com/2013/01/30/video-tornadoes-rip-across-southeast/
0,550,"A Waiter Who Serves Up Food, Drinks and a Classic Holiday Song",2015-12-23T00:00:00Z,"Michael Pollard is the star of a Christmas tradition at Café Un Deux Trois, leading patrons of the Manhattan restaurant in a boisterous rendition of “The 12 Days of Christmas.”",https://www.nytimes.com/2015/12/23/nyregion/waiter-sings-christmas-songs-at-caf-un-deux-trois.html
1,551,Tornado Victims Debate Shelters,2013-05-22T16:26:00Z,"Some Oklahoma residents say storm shelters are life-savers, but others see problems with the structures and prefer to ride out the rough winds in their homes.",https://www.nytimes.com/video/us/100000002240131/tornado-victims-debate-shelters.html
0,552,Hurricane Sandy and the Oklahoma Tornado,2013-05-21T12:55:06Z,"Senator James Inhofe, who voted against Sandy aid, suggested he would support relief for Oklahoma because that will be “totally different.”",https://takingnote.blogs.nytimes.com/2013/05/21/hurricane-sandy-and-the-oklahoma-tornado/
0,553,Life as a Presidential Could-Have-Been,2016-05-03T07:21:05+0000,Are Elizabeth Warren and Paul Ryan wielding more power outside the race?,https://www.nytimes.com/2016/05/03/opinion/life-as-a-presidential-could-have-been.html
0,554,At Least 5 Are Killed and 12 Are Missing as Storms Ravage Texas and Oklahoma,2015-05-26T00:00:00Z,The weekend&#8217;s bad weather was followed by more heavy rain and tornadoes that pummeled Texas on Monday.,https://www.nytimes.com/2015/05/26/us/texas-and-oklahoma-ravaged-by-severe-weather-and-flooding.html
0,555,"Your Tuesday Briefing: Ted Cruz, Google, Bill Cosby",2016-02-02T00:00:00Z,Here’s what you need to know to start your day.,https://www.nytimes.com/2016/02/02/nytnow/your-tuesday-briefing-donald-trump-google-boko-haram.html
0,556,Twister,2015-01-01T07:59:34Z,"Twisted account of the reunion of a strange midwestern family. Bizarre, eccentric, low-budget, and just begging to be swept away by a tornado of cult interest. Begging, and waiting.",https://www.nytimes.com/video/movies/100000003405675/twister.html
0,557,Record Floods Affect Millions in the Midwest,2015-12-31T00:00:00Z,"The death toll attributed to the flooding, from northern Texas to the Ohio River Valley, has continued to rise, with 20 dead so far.",https://www.nytimes.com/2015/12/31/us/missouri-flooding-st-louis-mississippi.html
0,558,"Oklahoma Campus, Ravaged by a Tornado, Draws Attention to Storm Shelters",2013-06-03T00:00:00Z,"None of the 15 people at a Canadian Valley Technology Center were hurt after a tornado, but had it been a busy day the result may have been tragic.",https://www.nytimes.com/2013/06/03/us/oklahoma-campus-shows-value-of-storm-shelters.html
0,559,The Art at the End of the World,2017-07-07T09:00:11+0000,"A pilgrimage (with children) to see ‘‘Spiral Jetty,’’ Robert Smithson’s profound testament to catastrophe.",https://www.nytimes.com/2017/07/07/magazine/the-art-at-the-end-of-the-world.html
0,560,The Wonderful Wizard Of Oz,2014-12-31T22:19:44Z,A tornado brings Dorothy to Oz. She's given a pair of magic red shoes and told that only the Wizard has the power to send her back home. Animated version of the classic stories.,https://www.nytimes.com/video/movies/100000003401593/the-wonderful-wizard-of-oz.html
0,561,The Wizard Of Oz (Alternate Trailer),2014-12-31T15:39:23Z,"A tornado whisks a Kansas farm girl to the magical land of Oz, where she joins a scarecrow, a tin woodsman and a cowardly lion on a journey to the Emerald City. One of the most beloved films ever made!",https://www.nytimes.com/video/movies/100000003401326/the-wizard-of-oz-alternate-trailer.html
0,562,The Wizard Of Oz 50Th Anniversary Edition,2014-12-31T14:40:33Z,"A tornado whisks a Kansas farm girl to the magical land of Oz, where she joins a scarecrow, a tin woodsman and a cowardly lion on a journey to the Emerald City. One of the most beloved films ever made!",https://www.nytimes.com/video/movies/100000003401336/the-wizard-of-oz-50th-anniversary-edition.html
0,563,Few Triumphs in Frantic Hunt for 430 in Yangtze River,2015-06-03T00:00:00Z,"More than a day after the Oriental Star capsized in Hubei Province, China, most of the people on board were still missing.",https://www.nytimes.com/2015/06/03/world/asia/china-yangtze-river-ship-sinks.html
0,564,"As Jet Stream Moved North, Moist Air Barreled Into Plains With Deadly Results",2013-05-22T00:00:00Z,"First, the jet stream caused a cold snap by bringing Arctic air farther south than normal, but when it shifted north, it allowed tornado-causing moist air to move into the Midwest.",https://www.nytimes.com/2013/05/22/science/jet-stream-causing-tornado-outbreak.html
0,565,Protecting What’s Left After the Tornado,2013-05-24T10:27:22Z,"One year ago, Jenevieve Ricketts moved into a newly built home in Moore, Okla. Today, she is left to pick up the pieces.",https://www.nytimes.com/video/us/100000002243816/protecting-whats-left-after-the-tornado.html
0,566,The Wizard Of Oz,2014-12-31T10:43:40Z,"In this charming film based on the popular L. Frank Baum novel, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she encounters some memorable friends and foes in her journey to meet the Wizard of ...",https://www.nytimes.com/video/movies/100000003401340/the-wizard-of-oz.html
0,567,Deadly Storms in Oklahoma Bring Flooding and More Tornadoes,2013-06-02T00:00:00Z,"A storm on Friday set off tornadoes and severe flooding, causing widespread damage around the region and claiming at least nine victims, including two children.",https://www.nytimes.com/2013/06/02/us/5-die-in-latest-storm-oklahoma-surveys-damage.html
0,568,Manu Ginobili Made Spurs Assistant a Believer Back in Italy,2016-01-12T00:00:00Z,"Ettore Messina signed Ginobili at age 21 to play for him in Italy. Messina is now an assistant for the Spurs as Ginobili, at 38, winds down his N.B.A. career.",https://www.nytimes.com/2016/01/12/sports/basketball/san-antonio-spurs-manu-ginobili-ettore-messina.html
0,569,Into The Storm,2014-12-23T18:26:25Z,"In the span of a single day, the town of Silverton is ravaged by an unprecedented onslaught of tornadoes.  The entire town is at the mercy of the erratic and deadly cyclones, even as storm trackers predict the worst is yet to come.  Most people se...",https://www.nytimes.com/video/movies/100000003343072/into-the-storm.html
0,570,Matthew Desmond’s ‘Evicted: Poverty and Profit in the American City’,2016-02-28T00:00:00Z,"Barbara Ehrenreich says that “Evicted,” like Katherine Boo’s “Behind the Beautiful Forevers,” sets a new standard for reporting on poverty.",https://www.nytimes.com/2016/02/28/books/review/matthew-desmonds-evicted-poverty-and-profit-in-the-american-city.html
0,571,Perils of Climate Change Could Swamp Coastal Real Estate,2016-11-24T10:00:51+0000,"Homeowners are slowly growing wary of buying property in the areas most at risk, setting up a potential economic time bomb in an industry that is struggling to adapt.",https://www.nytimes.com/2016/11/24/science/global-warming-coastal-real-estate.html
0,572,Alka Pradhan v. Gitmo,2017-12-19T10:00:22+0000,"The human rights lawyer thinks she has a good defense for her client, one of five accused Sept. 11 plotters imprisoned at Guantánamo Bay — if the government ever actually lets the case go to trial.",https://www.nytimes.com/2017/12/19/magazine/alka-pradhan-v-gitmo.html
0,573,Legends Of Oz: Dorothy's Return,2014-12-23T23:02:58Z,"The plot begins as Dorothy returns to Kansas to find it devastated by the tornado that sent her to Oz. Before she can react to the destruction of her home, she is transported back to Oz, where her three friends (Scarecrow, Lion and Tin Man) have d...",https://www.nytimes.com/video/movies/100000003349218/legends-of-oz-dorothys-return.html
0,574,A Blue Jay&#8217;s Long and Bumpy Road to the Majors,2015-10-11T00:00:00Z,"Toronto&#8217;s Chris Colabello took a long and winding road to the majors, but with persistence and belief in himself, he ended up exactly where he knew he belonged.",https://www.nytimes.com/2015/10/11/sports/baseball/a-blue-jays-long-and-bumpy-road-to-the-majors.html
0,575,Obama Consoles Town Flattened by Tornado,2013-05-26T10:38:21Z,President Obama walked among 10-foot-tall piles of construction debris littered with children’s schoolbooks as he offered the condolences of a nation to a town nearly wiped off the map by a tornado.,https://thecaucus.blogs.nytimes.com/2013/05/26/obama-to-visit-with-tornado-victims/
0,576,Trust the Iowa Locals,2016-01-25T13:00:05+0000,"For the caucuses, local reporters know to ask about the prices of corn and beans — when they get the interview.",https://www.nytimes.com/2016/01/25/opinion/campaign-stops/trust-the-iowa-locals.html
0,577,When Mother Nature Stops Being Maternal,2014-11-14T00:00:00Z,"&#8220;Nature&#8217;s Fury: The Science of Natural Disasters&#8221; examines the immense forces wielded by earthquakes, volcanoes, tornadoes and hurricanes.",https://www.nytimes.com/2014/11/14/arts/design/natural-disasters-explained-at-natural-history-museum.html
0,578,"Your Thursday Briefing: Bill Cosby, Donald Trump, New Year’s Eve",2015-12-31T00:00:00Z,Here’s what you need to know to start your day.,https://www.nytimes.com/2015/12/31/nytnow/latest-news-bill-cosby-donald-trump-new-years-eve.html
0,579,How Can Communities Prepare for Mass Shootings? Orlando Offers Lessons,2016-06-20T00:00:00Z,Orlando’s response to the Pulse nightclub massacre provides insight about how to respond to attacks with injuries comparable to those in war zones.,https://www.nytimes.com/2016/06/20/us/how-can-communities-prepare-for-mass-shootings-orlando-offers-lessons.html
0,580,The Quiet Menace of Kelly Reichardt’s Feminist Westerns,2016-10-14T09:00:07+0000,"Through her spare, often uncomfortably observant movies, the filmmaker tells the stories of women moving through an uneasy world.",https://www.nytimes.com/2016/10/16/magazine/the-quiet-menace-of-kelly-reichardts-feminist-westerns.html
0,581,"Falling Gold, Phone Manners, Bad Citizens and Great Leaders: Our Favorite Student Comments of the Week",2018-03-29T21:09:56+0000,"The best teenage comments from last week’s writing prompts, and an invitation to join the conversation this week.",https://www.nytimes.com/2018/03/29/learning/falling-gold-phone-manners-bad-citizens-and-great-leaders-our-favorite-student-comments-of-the-week.html
0,582,"Your Thursday Briefing: Christmas Eve, China, ‘Concussion’",2015-12-24T00:00:00Z,Here’s what you need to know to start your day.,https://www.nytimes.com/2015/12/24/nytnow/latest-news-christmas-eve-china-concussion.html
0,583,Four Die as Severe Storms Cross Mississippi,2014-12-24T00:00:00Z,"Situations were dire in several areas of the state as injuries, road closures, power failures and damage to homes were reported on Tuesday.",https://www.nytimes.com/2014/12/24/us/tornadoes-strong-storms-mississippi-south.html
0,584,Letters: There and Here,2015-11-01T00:00:00Z,"Readers respond to recent reviews of Richard McGuire’s “Here,” Ted Merwin’s “Pastrami on Rye” and more.",https://www.nytimes.com/2015/11/01/books/review/letters-there-and-here.html
0,585,Tornado Aid Fires Up Budget Debate,2013-05-22T10:34:18Z,"The Times’s Peter Baker on the fiscal arguments beginning to burn through Congress, touched off by President Obama’s promise to help victims in Oklahoma.",https://www.nytimes.com/video/us/politics/100000002239270/tornado-aid-fires-up-budget-debate.html
0,586,How to Deal With Flight Delays and Other Travel Headaches,2016-01-05T10:00:11+0000,Travel in an age of uncertain climate means learning to deal with flight delays and other obstacles. Tips on how to be ready for whatever comes your way.,https://www.nytimes.com/2016/01/10/travel/airport-delays-severe-weather.html
0,587,"Robert M. White, Who Revolutionized Weather Forecasts, Dies at 92",2015-10-23T00:00:00Z,"Dr. White, a meteorologist, was the first person to lead the National Oceanic and Atmospheric Administration and warned of climate change long before it was widely recognized.",https://www.nytimes.com/2015/10/23/science/earth/robert-m-white-meteorologist-who-revolutionized-weather-forecasts-dies-at-92.html
0,588,"In Moore, a Day for Salvaging, Mourning and Considering the Future",2013-05-23T00:00:00Z,Some residents who lost their homes were debating whether it was time to move on.,https://www.nytimes.com/2013/05/23/us/oklahoma-tornado-recovery.html
0,589,Worst Comes to Worst for Jets as Playoff Spot Slips Away,2016-01-03T21:31:18+0000,"Ryan Fitzpatrick threw three fourth-quarter interceptions to seal a Jets loss that, coupled with a Steelers win, ensured a wild-card berth for Pittsburgh.",https://www.nytimes.com/2016/01/04/sports/football/new-york-jets-buffalo-bills-afc-nfl-playoffs.html
0,590,The Things They Loved: Trisha Brown’s Exercise Balls,2017-12-28T09:45:02+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-trisha-brown.html
0,591,The Things They Loved: Harry Dean Stanton’s Couch,2017-12-28T09:44:02+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-harry-dean-stanton.html
0,592,The Things They Loved: Sam Shepard’s Hat,2017-12-28T09:41:02+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-sam-shepard.html
0,593,The Things They Loved: John Ashbery’s Collage-Making Desk,2017-12-28T09:41:02+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-john-ashbery.html
0,594,The Things They Loved: Kate Millett’s Glasses and Address Book,2017-12-28T09:40:02+0000,The feminist author’s Pierre Cardin glasses and address book in her East Village loft.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-kate-millet.html
0,595,The Things They Loved: Jonathan Demme’s Bird Guide,2017-12-28T09:39:02+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-jonathan-demme.html
0,596,The Lives They Lived,2017-12-28T09:07:05+0000,"Remembering some of the artists, innovators and thinkers we lost in the past year.",https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-2017.html
0,597,The Things They Loved: Lillian Ross’s Locket,2017-12-28T09:40:02+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-lillian-ross.html
0,598,The Things They Loved: Richard Benson’s Milling Machine,2017-12-28T10:09:03+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-richard-benson.html
0,599,The Things They Loved: Prodigy’s Jacket in a Recording Studio,2017-12-28T09:40:14+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-prodigy.html
0,600,The Things They Loved: Jimmy Breslin’s Beloved Pajamas,2017-12-28T09:39:02+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-jimmy-breslin.html
0,601,The Things They Loved: Chuck Berry’s Guitar Case,2017-12-28T09:37:02+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-chuck-berry.html
0,602,"Your Tuesday Briefing: Tamir Rice, Ethan Couch, Carolina Panthers",2015-12-29T00:00:00Z,Here’s what you need to know to start your day.,https://www.nytimes.com/2015/12/29/nytnow/latest-news-tamir-rice-case-ethan-couch-carolina-panthers.html
0,603,The Things They Loved: Inside Dick Gregory’s Pockets,2017-12-28T09:30:02+0000,A selection of beloved objects from those we lost.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-dick-gregory-things.html
0,604,"Torn Apart by Storm, a Tribute to Veterans Is Pieced Together Again",2014-11-10T00:00:00Z,"The Museum of Veterans and Military History is being rebuilt after a tornado hit it earlier this year, throwing medals of war heroes into fields of convulsed earth.",https://www.nytimes.com/2014/11/10/us/torn-apart-by-storm-a-tribute-to-veterans-is-pieced-together-again.html
0,605,Today's Scuttlebot: Pinterest Apocalypse and Tornado Energy,2012-12-17T19:30:59Z,"The technology reporters and editors of The New York Times scour the Web for important and peculiar items. Monday's selection includes a list of things to try for resurrecting waterlogged devices, Samsung challenging Apple in business sales and on...",https://bits.blogs.nytimes.com/2012/12/17/todays-scuttlebot-pinterest-apocalypse-and-tornado-energy/
0,606,"Review: Stacy Sullivan, Guided by History and Weather, at the Metropolitan Room",2015-04-07T00:00:00Z,Ms. Sullivan&#8217;s performance was inspired by one family&#8217;s journey from Oklahoma to California and back.,https://www.nytimes.com/2015/04/07/arts/music/review-stacy-sullivan-guided-by-history-and-weather-at-the-metropolitan-room.html
0,607,"Minneapolis’s Less Visible, and More Troubled, Side",2016-01-11T00:24:21+0000,"The world where Jamar Clark lived and died from a police bullet illustrates that a city known for its robust economy has, by several measures, left its black population behind.",https://www.nytimes.com/2016/01/11/us/minneapoliss-less-visible-and-more-troubled-side.html
0,608,Your Tuesday Evening Briefing,2015-06-23T00:00:00Z,Our nightly rundown will get you caught up on the big stories.,https://www.nytimes.com/2015/06/23/nytnow/your-tuesday-evening-briefing.html
0,609,Oklahoma Resists Push for Enrollment in Affordable Care Act Coverage,2016-01-28T00:00:00Z,"Supporters of the law regularly encounter stony skepticism in the state: “Obamacare is toxic,” said Craig W. Jones of the Oklahoma Hospital Association.",https://www.nytimes.com/2016/01/28/us/politics/oklahoma-resists-push-for-enrollment-in-affordable-care-act-coverage.html
0,610,Regina King Has So Many Stories to Tell,2016-03-06T00:00:00Z,"The actress, who won an Emmy for her role in “American Crime,” has found success in playing a wide range of characters.",https://www.nytimes.com/2016/03/06/arts/television/regina-king-profile.html
0,611,"Review: In ‘Elements of Oz,’ Smartphones Enhance a Celebration of ‘The Wizard of Oz’ Film",2015-09-28T22:01:48+0000,"Using their phones or tablets, audience members can take in special effects, YouTube videos and random arcana with live performances based on “The Wizard of Oz” movie.",https://www.nytimes.com/2015/09/29/theater/review-in-elements-of-oz-smartphones-enhance-a-celebration-of-the-wizard-of-oz-film.html
0,612,Living in the Ring of Fire,2015-08-21T20:13:12+0000,"In the Northwest, we calculate the odds of disaster.",https://www.nytimes.com/2015/08/23/opinion/living-in-the-ring-of-fire.html
0,613,"Herbert Axelrod, a Hustler Who Built an Empire on a Fish Tale",2017-12-28T09:34:02+0000,A hustler who built a fortune on a fish tale.,https://www.nytimes.com/interactive/2017/12/28/magazine/lives-they-lived-herbert-axelrod.html
0,614,Ren Hang’s Photographs Scandalized — and Inspired — His Countrymen,2017-12-28T09:30:02+0000,His photographs scandalized his country.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-ren-hang.html
0,615,Maryam Mirzakhani Drew Her Way to Mathematical Greatness,2017-12-28T19:30:29+0000,She drew her way to mathematical greatness.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-maryam-mirzakhani.html
0,616,Shirley Childress Mastered How to Convey Music Without Sound,2017-12-28T10:09:36+0000,She learned from an early age how to convey music without sound.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-shirley-childress.html
0,617,Dennis Banks Led a Native-American Revolution,2017-12-28T09:39:02+0000,A life caught between power and powerlessness.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-dennis-banks.html
0,618,Adam West Was a Superhero for His Life and Times,2017-12-28T09:35:02+0000,A superhero for his life and times.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-adam-west.html
0,619,Scharlette Holdman’s Quest to Find Out How Murderers Were Made,2017-12-28T09:33:02+0000,"Trying to find out how murderers were made, in order to save their lives.",https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-scharlette-holdman.html
0,620,"Erin Moran, TV’s Darling Daughter, Fended for Herself When the Cameras Stopped Rolling",2017-12-28T09:31:02+0000,"A sheltered daughter on TV, she had to fend for herself when the cameras were off.",https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-erin-moran.html
0,621,Barkley Hendricks Rejected the Label of Black Political Painter,2017-12-28T09:36:02+0000,He rejected the label of black political painter.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-barkley-hendricks.html
0,622,Henry ‘Enrico’ Quarantelli Proved That Disasters Bring Out the Best in Us,2017-12-28T09:35:02+0000,He proved that disasters bring out the best in us.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-enrico-l-quarantelli.html
0,623,Glen Campbell’s Loneliness Transcended His Rhinestone Image,2017-12-28T09:30:02+0000,His essential loneliness transcended the rhinestone image.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-glen-campbell.html
0,624,When We Can No Longer Pass Through the Giant Sequoia,2017-12-28T09:30:02+0000,When we can no longer pass through the giant sequoia.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-pioneer-cabin-tree.html
0,625,Delia Graff Fara Explored a Philosophical Concept With a Heap of Sand,2017-12-28T09:30:02+0000,She philosophized about vagueness — and lived with it too.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-delia-graff-fara.html
0,626,"Herbert Axelrod, a Hustler Who Built an Empire on a Fish Tale",2017-12-28T20:15:56+0000,A hustler who built a fortune on a fish tale.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-herbert-r-axelrod.html
0,627,Royal Robbins and the Fight for the Soul of Rock Climbing,2017-12-28T09:38:02+0000,He erased his rival in a battle for the soul of climbing.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-royal-robbins.html
0,628,Roy Dotrice Brought the Voices of Westeros to Life,2017-12-28T09:30:02+0000,The voice that brought the voices of Westeros to life in your head.,https://www.nytimes.com/interactive/2017/12/28/magazine/the-lives-they-lived-roy-dotrice.html
0,629,"Celebrating Bud Collins, a Tennis Treasure Told in Words and Pants",2015-09-07T00:00:00Z,“Where else would you want to be right now?” Bud Collins asked Sunday when the United States Tennis Association recognized his contributions to the sport.,https://www.nytimes.com/2015/09/07/sports/tennis/celebrating-bud-collins-at-the-us-open-a-tennis-treasure-told-in-words-and-pants.html
0,630,Spare Times for Children Listings for Aug. 12-18,2016-08-12T04:00:00+0000,"A select guide to cultural events for children, teenagers and families.",https://www.nytimes.com/2016/08/12/arts/spare-times-for-children-listings-for-aug-12-18.html
0,631,UK releases footage of in-flight refueling of British fighters,2014-09-28T13:16:48Z,British Ministry of Defense releases footage of Tornado fighter bombers refueling in flight during September 27 mission to Iraq. Rough Cut (no reporter narration).,https://www.nytimes.com/video/multimedia/100000003144537/uk-releases-footage-of-in-flight-refueling-of-british-fighters.html
0,632,300 More Bodies Found in China Ship Disaster,2015-06-07T00:00:00Z,"China Central Television said investigators would begin examining the ship in an effort to determine the cause of the accident, one of Asia&#8217;s worst maritime disasters in decades.",https://www.nytimes.com/2015/06/07/world/asia/300-more-bodies-found-in-china-ship-disaster.html
1,633,Tornadoes Touch Down in Brooklyn and Queens,2012-09-08T19:19:00+0000,"The swirling column of wind and water lasted only minutes, according to witnesses, but damaged homes and power lines as it cut through the Rockaways, near Breezy Point.",https://www.nytimes.com/2012/09/09/nyregion/tornado-causes-damage-along-a-beach-in-queens.html
0,634,British Jets Hit ISIS in Syria After Parliament Authorizes Airstrikes,2015-12-03T00:00:00Z,The outcome underscored the concerted efforts of Prime Minister David Cameron to restore Britain’s reputation as a serious global actor.,https://www.nytimes.com/2015/12/03/world/europe/britain-parliament-syria-airstrikes-vote.html
0,635,"Audra McDonald and Zachary Quinto on Public, and Private, Drama",2016-07-10T00:00:00Z,"The actors discuss the childhood difficulties that drew them to the craft, their shared commitment to young people at risk, and more.",https://www.nytimes.com/2016/07/10/fashion/table-for-three-audra-mcdonald-zackary-quinto.html
0,636,"From South Park to the Space Station, Randy Olson Sees an &#8216;And, But, Therefore&#8217; Story Solution",2015-09-16T16:10:54Z,A look at a new book by Randy Olson on a formula for telling the story of science in an engaging way.,https://dotearth.blogs.nytimes.com/2015/09/16/from-south-park-to-the-space-station-randy-olson-sees-an-and-but-therefore-story-solution/
